貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2016-05-16 09:56:04+00:00,342571109112167_1013832678652670,"噢!為什麼插頭又壞了?!

插頭往往會因拔插的動作，造成線路接觸不良。
為了增強拔插次數，所以群加貼心設計抗搖擺功能。
它能保護卡榫不易失去接合力，而且耐彎折。
目前此設計已運用在 網線/HDMI/Type C

有興趣的鄉民們，千萬不要錯過囉~",Powersync 群加國際 added 2 new photos.,13,0
2016-05-12 09:27:02+00:00,342571109112167_1011550915547513,,Powersync 群加國際 updated their cover photo.,6,0
2016-05-10 01:18:40+00:00,342571109112167_1010347715667833,"還記得2014年初公佈的Type-C新規格嗎? 
等了好久! 終於在今年正式販售囉!

▲USB Type-C最大特點就在於接頭，尺寸為8.3x2.5mm，上下端完全一致，不管正插、反插都能插入。如同Apple所使用的Lightning介面，再也不用像之前的Type-A、Type-B，對應老半天才能插上接頭。
                                                                                     
▲再來最大的重點就是速度，USB 3.1在傳輸速度方面可達10Gb/s，比USB 2.0快10倍以上。而且充電速度提升，最高供電能力可達100W。
                                                                                  
▲Powersync的Type-C產品還有一大特點，就是採用24K鍍金端子，能有效抗銹蝕、高耐磨且耐插拔可達1萬次。

目前3C大廠已開始導入Type-C規格，也請期待USB統一即將到來!",Powersync 群加國際 added 4 new photos.,9,0
2015-11-13 13:06:49+00:00,342571109112167_918602718175667,"看過，路過，千萬不要錯過! 快點跟小編ㄧ起來特力屋體驗360度可旋轉延長線。原價1,290元，體驗價799元。            PowerSync Surge Protector with Rotating outlet and USB ports.",Powersync 群加國際 added 3 new photos.,22,9
2015-10-28 10:29:23+00:00,342571109112167_912692705433335,包粉注意！群加無敵超強的USB-C 線！還有USB-C OTG線跟USB-C對A的線，敬請期待！,Powersync 群加國際 added 3 new photos.,21,4
2015-06-03 01:14:52+00:00,342571109112167_850301151672491,Computex Day 2,Powersync 群加國際 added 4 new photos.,9,0
2015-05-20 03:10:13+00:00,342571109112167_843098329059440,brochure,,8,0
2015-05-20 03:04:37+00:00,342571109112167_843097312392875,誠摯邀請您來參加我們的攤位.,,8,0
2015-05-14 05:48:16+00:00,342571109112167_840787655957174,"We sincerely invite you for a visit to our booth; your presence will be a great honor to us.
誠摯邀請您來參加我們的攤位.",,6,2
2015-01-21 04:16:08+00:00,342571109112167_793635880672352,"買一條有個性,品質好,又耐用的網路線遠比雜牌的好太多.
What you need is PowerSync Cat. 7 Cable!",Powersync 群加國際 added 2 new photos.,11,0
2015-01-21 01:54:57+00:00,342571109112167_793602677342339,,Powersync 群加國際 updated their profile picture.,7,0
2015-01-21 01:24:53+00:00,342571109112167_793596827342924,Premium Taiwan tea! 好喝的茶盡在杜爾德. 好茶!,,7,0
2015-01-16 09:29:05+00:00,342571109112167_791145560921384,Perfectly fit my HTC 820! Looking good.,,9,0
2014-12-16 07:10:56+00:00,342571109112167_773596716009602,群加在此祝福各位聖誕節快樂! Merry Christmas to you all,,6,0
2014-12-01 07:55:17+00:00,342571109112167_767251846644089,i need one,Powersync 群加國際 shared Powersync Malaysia-Singapore's photo.,8,0
2014-11-14 08:24:32+00:00,342571109112167_759215237447750,Now on sale!,,6,0
2014-11-06 07:10:38+00:00,342571109112167_755383391164268,Looking good.....,Powersync 群加國際 shared Powersync Malaysia-Singapore's post.,5,0
2014-11-05 08:31:40+00:00,342571109112167_754989917870282,"Hi-Speed USB 2.0 Quick Charging Cable

Features:
Ideal for syncing data and quick charging the latest smartphones, tablets, MP3 players, mobile phones or other USB-enabled device. 

24 /28 awg pure copper conductors provide up to 30% charging speed hence the least time to fill battery.

Compatible with most Android based devices that featuring quick charging capabilities.

Super soft, flexible, stylish, lightweight cable with free cable tie attached.

Charge your smartphones and tablets from your computer/laptop USB port quicker and with increased current output.",,10,0
2014-08-28 06:53:43+00:00,342571109112167_724884714214136,"3.5mm 4 Pole 3 Ring Male to Male Audio Cable
Features:
Two gold plated male plugs, molded connectors with strain relief ensure a solid high quality connection between the connected devices.
Fully supports iPhone, iPad, iPod, Android, speakers and all MP3/MP4 devices with 3.5mm stereo audio min jack.
‧ Flexible PVC jacket
‧ Available in 1.8M, 3M",,6,0
2014-06-09 03:12:52+00:00,342571109112167_690318204337454,I1301 群加POWERSYNC,Powersync 群加國際 added 20 new photos to the album: 2014 Computex 活動 — at Computex Taipei 南港展覽館.,6,0
2014-06-06 10:43:24+00:00,342571109112167_689049097797698,More to come,Powersync 群加國際 added 13 new photos.,5,0
2014-06-05 10:39:10+00:00,342571109112167_688568151179126,Take me away,Powersync 群加國際 added 5 new photos.,10,0
2014-06-04 14:26:44+00:00,342571109112167_688212207881387,You are the man!,,6,0
2014-06-04 07:33:53+00:00,342571109112167_688103537892254,Welcome to our booth,Powersync 群加國際 added 3 new photos.,11,2
2014-06-04 06:13:16+00:00,342571109112167_688083787894229,USB3.0雙頭 MICRO USB 傳輸充電線體驗區,,7,0
2014-06-04 06:11:46+00:00,342571109112167_688083441227597,我們在台北國際點腦展，computex展，攤位號碼I1301,Powersync 群加國際 is in 南港展覽館 World Trade Center Nangon Exhibition Center.,8,0
2014-06-03 06:41:57+00:00,342571109112167_687583894610885,"只要於展覽期間內，至群加科技 攤位號碼I1301
與POWERSYNC吉祥物""螢火蟲娃娃""合照
並打卡分享至此粉絲專頁

即可獲得超萌~小螢火蟲娃娃一隻
【數量有限，敬請把握】",Powersync 群加國際 is in 南港展覽館 World Trade Center Nangon Exhibition Center.,8,1
2014-06-03 06:13:54+00:00,342571109112167_687577301278211,"COMPUTEX is coming
2014台北國際電腦展 =南港展覽館=
6/3~6/7
9:30~18:00[最後一天開放至16:00止]

Powersync 群加科技(包爾星克)
攤位號碼: I1301",,11,0
2014-06-03 06:13:23+00:00,342571109112167_687577221278219,POWERSYNC I1301,Powersync 群加國際 added 3 new photos to the album: 2014 COMPUTEX — in 南港展覽館 World Trade Center Nangon Exhibition Center.,0,0
2014-05-21 08:53:46+00:00,342571109112167_681926278509980,"Join Us on June 3rd~7th at Nankang Exhibition Hall, 1F
Booth No. I1301",,11,0
2014-05-14 09:02:40+00:00,342571109112167_678772552158686,"--USB3.0 接近雲端的速度--

避震式線尾系列，超耐彎折。
時尚雙色頭型。",,9,0
2014-04-30 08:45:07+00:00,342571109112167_672525452783396,Newly listed!!,,7,1
2014-04-18 05:34:05+00:00,342571109112167_666595026709772,We sincerely invite you to this show and visit us at booth I1301. See you at COMPUTEX Taipei 2014.,,7,1
2014-02-24 08:16:23+00:00,342571109112167_643957798973495,"超七類網路超薄扁線
家裝新時尚，繽紛設計讓你區分更方便

還不入手，打造您的時尚居家嗎?
http://powersync.anow.com.tw/showroom/view.php?C=5673036",,7,0
2014-01-21 02:57:39+00:00,342571109112167_628854630483812,"你是不是常常碰到""有孔無法使用""的困擾呢?
變壓器佔去不少位置，還會讓你的接頭卡卡的
明明買了六孔的延長線，實際上用到的只有三孔

快來試試群加可旋轉的延長線吧~
讓你不浪費空間又可以妥善的運用延長線喔",,5,0
2014-01-13 05:56:40+00:00,342571109112167_625749894127619,"常聽到社會新聞報導電線走火而釀災
關鍵就在於您連接電器的延長線是否安全

◆◆群加MX3延長線有效的預防擦槍走火◆◆

您可能會想問什麼是MX3?

MX3突波吸收器為當今突波技術裡最具突破性的保護元件，獨家陶瓷外殼可耐熱1200℃

獨家專利安全不起火
居家生活的安全就讓群加來替你把關",,8,0
2013-06-04 06:40:18+00:00,342571109112167_531341830235093,,Powersync 群加國際 added 3 new photos to the album: 2013 Computex.,1,1
2013-06-04 06:36:03+00:00,342571109112167_531340886901854,2013 Computex,,24,1
2013-05-02 02:43:34+00:00,342571109112167_519094604793149,Computex 2013,Powersync 群加國際 shared Allen Wang's photo.,4,0
2013-01-09 09:59:59+00:00,342571109112167_473026532733290,"http://www.powersync.com.tw
群加官網消費滿1000就送您束線帶唷",,9,0
2012-12-27 02:31:19+00:00,342571109112167_467306453305298,"還在被雜亂的線材纏身嗎?

直覺性收放設計，輕薄易拉好整理
線材長度可隨個人需求調整
易拉式設計讓您不必再為整理線材煩惱

http://powersync.anow.com.tw/showroom/view.php?C=5586687",,8,1
2012-12-21 10:15:15+00:00,342571109112167_464854980217112,"七彩護套，顏色新穎~以色彩來替線材做區分，
自行製作線材的專用護套，適用於RJ-45接頭
可使網路水晶頭更加美觀之外，更可強化水晶頭插拔時的強度。
http://powersync.anow.com.tw/showroom/view.php?C=5565191",,10,0
2012-09-13 01:06:47+00:00,342571109112167_425848064128904,"終於發佈了~~~~~

http://www.apple.com/tw/iphone/iphone-5/",,9,1
2012-09-06 13:53:41+00:00,342571109112167_345328465561742,"好歌分享:歌曲動人 歌詞也很美 有種想落淚的feel ><""

Drenched 無法自拔
 
When minutes become hours 分針畫圓 時針繞圈
 When days become years 日積月累 轉眼數年
 And I don’t know where you are 在哪裡？ 我找不到你
 Color seems so dull without you 世界失去了顏色 因為少了你
 *Have we lost our minds? 我們是否因愛情瘋狂？
 What have we done? 擁有哪些過往？
 But it all doesn’t seem to matter anymore 現在看來都已不再重要
 When you kissed me on that street, 那條街上，熱情在互吻中交流
 I kissed you back
 You held me in your arms, I held you in mine 彼此緊緊相擁
 You picked me up to lay me down 你帶著我走卻又拋下了我
 When I look into your eyes 以為你眼眸中的溫柔
 I can hear you cry for a little bit more of you and I 是企求我們有以後
 I’m drenched in your love 無法自拔 我已沉溺在你的愛中
 I’m no longer able to hold it back*
 Is it too late to ask for love? 渴望愛情是否太晚？
 Is it wrong to feel right? 感覺對了其實誤判？
 When the world is winding down 當世界逐步邁向盡頭
 Thoughts of you linger around 徘徊不散 是想你的念頭

http://www.youtube.com/watch?v=gXmUX4vx8tg",,5,0
2012-08-30 12:57:11+00:00,342571109112167_425226247513319,"新產品       :USB OTG轉接線
預計上市日期 :九月底

知識小幫手: 今天的東西很讚喔 USB OTG介面
OTG的原理 USB On-The-Go通常縮寫為USB OTG，
是USB2.0規格的補充標準。

OTG的應用 手機可以透過USB OTG裝置連接上周邊設備
例如數字音頻播放器或手機作為主機，允許USB快閃記憶體驅動器、滑鼠或鍵盤與其連接。

不知道可不可以用單眼拍照,即時顯示在平板或者手機上,
那就讚了 哈哈",,10,0
2012-08-22 12:12:14+00:00,342571109112167_459944704026701,"颱風前夕 明天大部分人應該都要上班 外出要小心 注意風雨喔~~~北北基要上班上課

http://www.dgpa.gov.tw/",,5,0
2012-08-21 01:50:34+00:00,342571109112167_422265147809429,知識小幫手:如何選購你的網路線,,11,0
2012-08-18 14:53:02+00:00,342571109112167_421539814548629,"煙火真的不好拍~><"" ",Powersync 群加國際 added 10 new photos to the album: 2012台北煙火節.,12,0
2012-08-18 05:35:27+00:00,342571109112167_421444817891462,"妳(你)是否有出門就要帶一堆線的困擾,舉凡相機,手機,mp3,筆電....等等,這包包可以派上用場唷",Powersync 群加國際 added 6 new photos to the album: 線材收納袋.,10,0
2012-08-17 14:48:46+00:00,342571109112167_421232834579327,繼外銷展 iphone 30pin界面的支架後 接著推出適用於HTC/SAMSUNG....... 手機的micro usb介面支架 應用照曝光囉,Powersync 群加國際 added 5 new photos to the album: MICRO USB 手機支架.,12,0
2012-08-16 15:01:51+00:00,342571109112167_420947841274493,"知識小幫手 : 線徑(線的直徑)判別 例如 32AWG 
32是數值 AWG是單位 數值越小表示線徑越粗",,3,0
2012-08-10 13:15:30+00:00,342571109112167_410824475642157,"群加網購平台 目前設計部在趕工中 不久的將來 將會用嶄新的頁面與大家見面

http://www.powersync.com.tw",,8,0
2012-08-10 13:05:06+00:00,342571109112167_490050084357823,"台中電腦應用展~可以相約去逛逛 可以撿便宜唷

https://www.facebook.com/TCCA.TCCA",Powersync 群加國際 shared a Page.,8,1
2012-06-13 02:42:28+00:00,342571109112167_397821946920416,,Powersync 群加國際 added 3 new photos to the album: Catalog.,7,0
2012-06-11 15:48:15+00:00,342571109112167_397075900328354,,Powersync 群加國際 added 13 new photos — at 2012 Computex Taipei.,7,0
2012-05-31 05:42:11+00:00,342571109112167_391137494255528,Warmest welcome to all users,,13,2
2012-05-31 05:40:20+00:00,342571109112167_391137000922244,30PIN + Micro B Connectors cable- Apply for Micro USB and 30Pin of smart phones or other 3C peripheral products.,,11,0
2012-05-31 05:32:07+00:00,342571109112167_391134804255797,"Fiber Optical Toslink Cable- 24K Gold-plated connectors, better transfer, original sound reproduction.",,19,0
2012-05-31 05:28:43+00:00,342571109112167_391133947589216,"Category 7 SFTP 10Gbps High-Speed LAN Cable- Bandwidth is up to 600MHz, and transmission rate is 10Gbps.",,13,0
2012-05-31 05:25:36+00:00,342571109112167_391133100922634,3.5mm 1 Male to 2 Females Audio Splitter- Allows you to plug two sets of stereo speakers or headphones into one 3.5mm jack of MP3 player.,,15,0
2012-05-31 05:18:34+00:00,342571109112167_391131287589482,Apple 30pin Dock Stand- Light weight for portability and easy storage.,,13,0
2012-05-16 07:56:38+00:00,342571109112167_154299744700329,新產品 ,,14,0
2012-05-15 09:25:57+00:00,342571109112167_382587005110577,2012 COMPUTEX Taipei Int'l Information Technology Show coming soon,,2,0
2012-05-02 02:24:19+00:00,342571109112167_374193319283279,"買防雷擊抗突波,雷神遠離你",,6,0
2012-04-20 14:57:07+00:00,342571109112167_366530950049516,"打雷了!! 如果您有購買群加防雷擊抗突波延長線,此時您就不用擔心瞬間強大的電流會衝擊到您貴重的家電或是3C產品!! 買了嗎? 趕快去買!!
群加關心您",,11,1
2012-04-18 14:32:22+00:00,342571109112167_365298453506099,"這次小編隨著業務們到台中上架去,體驗一下當中的樂趣.「台中春季電腦展」將於2012年4月19日至4月23日登場.別忘了順便到虹優這來看看我們家的產品喔!! 一起來促進台灣經濟吧!!哈哈",,9,2
2012-04-18 14:27:53+00:00,342571109112167_365296783506266,,Powersync 群加國際 added a new photo.,11,0
2012-04-18 14:27:06+00:00,342571109112167_365296470172964,,Powersync 群加國際 added a new photo.,10,0
2012-04-18 14:25:41+00:00,342571109112167_365295966839681,,Powersync 群加國際 added a new photo.,11,0
2012-04-06 01:30:04+00:00,342571109112167_356943771008234,,Powersync 群加國際 added a new photo.,14,0
2012-04-06 01:23:50+00:00,342571109112167_356941684341776,,Powersync 群加國際 added a new photo.,16,0
2012-04-06 01:08:38+00:00,342571109112167_356936207675657,,Powersync 群加國際 added a new photo.,12,0
2012-04-06 01:07:51+00:00,342571109112167_356935864342358,,Powersync 群加國際 added a new photo.,14,0
2012-04-03 03:44:46+00:00,342571109112167_355365204499424,,Powersync 群加國際 added a new photo.,13,0
2012-04-03 03:44:24+00:00,342571109112167_355365094499435,,Powersync 群加國際 added a new photo.,12,0
2012-04-03 03:41:46+00:00,342571109112167_355364077832870,,Powersync 群加國際 added a new photo.,13,0
2012-03-30 07:30:06+00:00,342571109112167_353164638052814,,Powersync 群加國際 added a new photo.,12,0
2012-03-30 07:28:48+00:00,342571109112167_353164371386174,,Powersync 群加國際 added a new photo.,12,0
2012-03-30 07:19:09+00:00,342571109112167_353162041386407,,Powersync 群加國際 updated their cover photo.,6,0
2012-03-12 07:06:36+00:00,342571109112167_343153485720596,,,6,0
2012-03-12 06:10:42+00:00,342571109112167_343141455721799,,Powersync 群加國際 added 13 new photos to the album: 2011 Computex — at 2011 Computex Taipei Nangang Hall.,12,0
2012-03-12 05:03:57+00:00,342571109112167_287997947939974,http://powersync.anow.com.tw/showroom/view.php?C=5361739,,6,0
2012-03-11 14:59:57+00:00,342571109112167_342716489097629,"謝謝各位的支持,未來會以更多元化的產品服務大眾^^",,14,0
2012-03-11 13:30:59+00:00,342571109112167_169748816478039,www.powersync.com.tw,,8,0
1994-01-01 08:00:00+00:00,342571109112167_342677572434854,,Powersync 群加國際 added a life event from 1994: Founded in 1994.,5,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
